date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2014-02-10,Långskeppsgatan 7,Norra Ångby,,Grön Hässelby,2,null,null,Tomt/Mark,null,[Runstensplan],125000,0,125000,null,ERA,701.7624797919046,Islandstorget
2014-02-05,Bergslagsvägen 74,Norra Ångby,,Grön Hässelby,3,82,null,Lägenhet,2008,[Bromma],2845000,155000,3000000,3974,Fastighetsbyrån,81.14636431445258,Akeshov
2014-02-03,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,48,0,Lägenhet,1967,[Bromma Norra Ängby],1495000,35000,1530000,3021,HusmanHagberg,424.08088533962217,Racksta
2014-01-24,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,1,28,3,Lägenhet,1967,[Bromma Norra Ängby],1195000,255000,1450000,1762,Mäklarringen,458.9843663866506,Racksta
2014-01-24,Bergslagsvägen 78,Norra Ångby,,Grön Hässelby,3,82,8,Lägenhet,2008,[Bromma Åkeshov],2845000,365000,3210000,4001,Notar,137.95407801646613,Akeshov
2014-01-24,Hildebrandsvägen 4,Norra Ångby,,Grön Hässelby,5,65,null,Villa,1933,[Norra Ängby],5500000,325000,5825000,null,Svenska Mäklarhuset,570.4747774844773,Angbyplan
2014-01-13,Bergslagsvägen 136,Norra Ångby,,Grön Hässelby,6,92,null,Villa,1937,[Bromma],5495000,255000,5750000,null,Fastighetsbyrån,464.614670185172,Angbyplan
2013-12-20,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,1,28,1,Lägenhet,1967,[Bromma Norra Ängby],1195000,105000,1300000,1762,HusmanHagberg,458.9843663866506,Racksta
2013-11-23,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,1,Lägenhet,1967,[Bromma],1195000,205000,1400000,1762,HusmanHagberg,424.08088533962217,Racksta
2013-11-17,Beckombergavägen 105,Norra Ångby,,Grön Hässelby,7,129,null,Villa,1931,[Bromma],6995000,30000,7025000,null,Fastighetsbyrån,567.781445410544,Angbyplan
2013-11-14,Björketorpsvägen 7,Norra Ångby,,Grön Hässelby,4,96,1,Lägenhet,2009,[Bromma],2995000,-45000,2950000,4986,Notar,466.2537341761929,Racksta
2013-10-24,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,1,28,null,Lägenhet,null,[Bromma],1250000,-25000,1225000,1762,Notar,458.9843663866506,Racksta
2013-10-19,Bergslagsvägen 78,Norra Ångby,,Grön Hässelby,4,90.5,null,Lägenhet,2008,[Bromma],3195000,10000,3205000,4449,Fastighetsbyrån,137.95407801646613,Akeshov
2013-10-19,Holmgårdsvägen 13,Norra Ångby,,Grön Hässelby,5,100,null,Villa,1938,[Bromma],4995000,55000,5050000,null,Fastighetsbyrån,248.64180786230898,Islandstorget
2013-10-18,Åloppevägen 29,Norra Ångby,,Grön Hässelby,5,115,null,Villa,1932,[Bromma],6500000,550000,7050000,null,Bjurfors,344.0097488007754,Angbyplan
2013-10-12,Jomsborgsvägen 22,Norra Ångby,,Grön Hässelby,7,111,null,Villa,1931,[Bromma],5750000,350000,6100000,null,Bjurfors,407.30573071812137,Angbyplan
2013-10-04,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,54,null,Lägenhet,1967,[Bromma Norra Ängby],1595000,65000,1660000,3398,HusmanHagberg,458.9843663866506,Racksta
2013-09-27,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,54,null,Lägenhet,1967,[Bromma],1450000,150000,1600000,3398,Notar,424.08088533962217,Racksta
2013-09-25,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,null,Lägenhet,null,[Norra Ängby],1250000,0,1250000,1762,Svensk Fastighetsförmedling,424.08088533962217,Racksta
2013-09-12,Spångavägen 49,Norra Ångby,,Grön Hässelby,1,41.5,null,Lägenhet,1940,[Bromma Brommaplan],1395000,200000,1595000,3073,Fastighetsbyrån,460.5713998546239,Akeshov
2013-09-07,Björketorpsvägen 17,Norra Ångby,,Grön Hässelby,3.5,73,null,Lägenhet,2009,[Bromma],2350000,200000,2550000,3883,Notar,492.26026843511295,Racksta
2013-09-07,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,48,null,Lägenhet,1967,[Bromma],1495000,0,1495000,3021,HusmanHagberg,424.08088533962217,Racksta
